respondentid,age,gender,income,education,location_census,seen_any6,fan_yn,fan_expanded,fan_startrek,shot_first
3292879998,18-29,Male,NA,High school degree,South Atlantic,Yes,Yes,No,No,I don't understand this question
3292765271,18-29,Male,"$0 - $24,999",High school degree,West North Central,Yes,No,NA,No,I don't understand this question
3292763116,18-29,Male,"$100,000 - $149,999",Some college or Associate degree,West North Central,Yes,Yes,NA,Yes,I don't understand this question
3292731220,18-29,Male,"$100,000 - $149,999",Some college or Associate degree,West North Central,Yes,Yes,No,No,Greedo
3292719380,18-29,Male,"$25,000 - $49,999",Bachelor degree,Middle Atlantic,Yes,Yes,No,Yes,Han
3292684787,18-29,Male,NA,High school degree,East North Central,Yes,Yes,No,No,Han
3292663732,18-29,Male,NA,High school degree,South Atlantic,Yes,Yes,NA,Yes,Han
3292654043,18-29,Male,"$0 - $24,999",Some college or Associate degree,South Atlantic,Yes,Yes,NA,No,Han
3292640424,18-29,Male,"$25,000 - $49,999",Some college or Associate degree,Pacific,Yes,No,NA,No,I don't understand this question
3292637870,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA
3292609214,18-29,Male,"$25,000 - $49,999",Bachelor degree,South Atlantic,Yes,No,NA,No,Greedo
3292596911,30-44,Male,"$50,000 - $99,999",Graduate degree,Mountain,Yes,Yes,NA,No,I don't understand this question
3292587240,18-29,Male,NA,High school degree,East North Central,Yes,Yes,NA,No,Han
3292583038,18-29,Male,"$0 - $24,999",Some college or Associate degree,West South Central,Yes,Yes,Yes,Yes,Han
3292580516,18-29,Male,"$50,000 - $99,999",Bachelor degree,New England,Yes,Yes,Yes,No,Han
3292572872,18-29,Male,NA,Some college or Associate degree,Middle Atlantic,Yes,Yes,NA,No,Greedo
3292565282,18-29,Male,NA,High school degree,South Atlantic,Yes,Yes,NA,No,Han
3292562297,18-29,Male,"$50,000 - $99,999",Some college or Associate degree,West North Central,Yes,Yes,NA,Yes,Greedo
3292522349,18-29,Male,NA,Some college or Associate degree,Pacific,Yes,Yes,NA,No,Han
3292521066,18-29,Male,NA,Bachelor degree,Pacific,Yes,No,NA,No,I don't understand this question
3292511801,18-29,Male,"$50,000 - $99,999",Bachelor degree,South Atlantic,Yes,Yes,Yes,Yes,Greedo
3292483200,18-29,Male,"$0 - $24,999",Bachelor degree,Pacific,Yes,Yes,NA,No,Han
3292465491,18-29,Male,NA,NA,East North Central,Yes,Yes,NA,No,Han
3292420123,18-29,Male,"$100,000 - $149,999",Some college or Associate degree,South Atlantic,Yes,Yes,No,No,Greedo
3292384040,18-29,Male,NA,Some college or Associate degree,Middle Atlantic,Yes,Yes,NA,No,Greedo
3292380493,18-29,Male,NA,Some college or Associate degree,Middle Atlantic,Yes,Yes,No,No,Han
3292376985,18-29,Male,"$150,000+",Some college or Associate degree,East North Central,Yes,Yes,Yes,Yes,Han
3292366792,30-44,Male,"$0 - $24,999",High school degree,New England,Yes,No,NA,No,I don't understand this question
3292339379,30-44,Male,"$50,000 - $99,999",Some college or Associate degree,West North Central,Yes,Yes,Yes,Yes,Han
3292330840,18-29,Male,NA,NA,Middle Atlantic,Yes,No,NA,No,Han
3292318652,18-29,Male,"$50,000 - $99,999",High school degree,Mountain,Yes,No,NA,No,Han
3292290677,30-44,Male,"$150,000+",Graduate degree,East North Central,Yes,Yes,NA,No,Han
3292281095,18-29,Male,"$0 - $24,999",Bachelor degree,West North Central,Yes,Yes,NA,No,Greedo
3292279889,18-29,Male,NA,Some college or Associate degree,Pacific,Yes,Yes,NA,No,Han
3292264069,30-44,Male,"$50,000 - $99,999",Bachelor degree,Middle Atlantic,Yes,Yes,No,Yes,Han
3292257520,30-44,Male,"$0 - $24,999",High school degree,West North Central,Yes,Yes,Yes,Yes,Greedo
3292249492,30-44,Male,"$100,000 - $149,999",Graduate degree,Middle Atlantic,Yes,Yes,NA,Yes,Han
3292222729,30-44,Male,"$100,000 - $149,999",Graduate degree,Pacific,Yes,Yes,Yes,No,Han
3292221635,18-29,Male,"$25,000 - $49,999",Bachelor degree,West North Central,Yes,Yes,Yes,No,Greedo
3292218251,18-29,Male,"$150,000+",Bachelor degree,Pacific,Yes,Yes,Yes,Yes,Han
3292214307,18-29,Male,"$25,000 - $49,999",High school degree,New England,Yes,Yes,No,No,Han
3292210606,18-29,Male,NA,Some college or Associate degree,West North Central,Yes,Yes,NA,No,Han
3292189580,30-44,Male,"$50,000 - $99,999",Some college or Associate degree,West North Central,Yes,Yes,Yes,Yes,Han
3292187343,18-29,Male,"$50,000 - $99,999",Some college or Associate degree,Pacific,Yes,No,NA,No,Greedo
3292178389,18-29,Male,"$50,000 - $99,999",Bachelor degree,Mountain,Yes,Yes,NA,Yes,Greedo
3292176862,18-29,Male,NA,High school degree,South Atlantic,Yes,Yes,No,No,Han
3292173922,30-44,Male,"$50,000 - $99,999",Some college or Associate degree,West South Central,Yes,Yes,NA,Yes,I don't understand this question
3292167131,18-29,Male,"$25,000 - $49,999",High school degree,New England,Yes,Yes,No,No,Han
3292162057,18-29,Male,"$100,000 - $149,999",Some college or Associate degree,Mountain,Yes,Yes,NA,No,Greedo
3292156614,18-29,Male,"$150,000+",Bachelor degree,West South Central,Yes,Yes,NA,No,Han
3292148570,18-29,Male,"$50,000 - $99,999",Graduate degree,West North Central,Yes,Yes,NA,Yes,Han
3292144665,18-29,Male,"$0 - $24,999",High school degree,New England,Yes,Yes,Yes,No,Han
3292143503,18-29,Male,"$50,000 - $99,999",Bachelor degree,Pacific,Yes,No,NA,No,I don't understand this question
3292131636,18-29,Male,"$150,000+",Bachelor degree,Pacific,Yes,Yes,No,No,Greedo
3292125068,30-44,Male,"$100,000 - $149,999",Graduate degree,Pacific,Yes,Yes,NA,Yes,Greedo
3292120160,18-29,Male,"$100,000 - $149,999",Some college or Associate degree,New England,Yes,Yes,Yes,No,Han
3292103680,30-44,Male,"$50,000 - $99,999",Some college or Associate degree,Pacific,Yes,Yes,NA,No,Greedo
3292050153,18-29,Male,"$0 - $24,999",Some college or Associate degree,Pacific,Yes,No,NA,No,I don't understand this question
3292041365,18-29,Male,"$150,000+",Some college or Associate degree,East South Central,Yes,Yes,Yes,Yes,Han
3292033243,18-29,Male,"$50,000 - $99,999",Some college or Associate degree,South Atlantic,Yes,Yes,Yes,No,Greedo
3292031637,18-29,Male,"$25,000 - $49,999",Graduate degree,East South Central,Yes,No,NA,No,I don't understand this question
3292008762,18-29,Male,"$25,000 - $49,999",Some college or Associate degree,East South Central,Yes,Yes,Yes,Yes,Han
3291992352,30-44,Male,"$100,000 - $149,999",Graduate degree,West North Central,Yes,Yes,NA,Yes,Greedo
3291945498,30-44,Male,"$50,000 - $99,999",Graduate degree,West North Central,Yes,Yes,NA,Yes,Han
3291940517,18-29,Male,"$100,000 - $149,999",Bachelor degree,West North Central,Yes,Yes,NA,Yes,Han
3291871486,18-29,Male,"$100,000 - $149,999",Graduate degree,South Atlantic,Yes,Yes,No,Yes,Greedo
3291778150,18-29,Male,"$25,000 - $49,999",Bachelor degree,Middle Atlantic,Yes,Yes,NA,Yes,Greedo
3291766314,30-44,Male,"$50,000 - $99,999",High school degree,Pacific,Yes,No,NA,No,I don't understand this question
3291762799,30-44,Male,"$50,000 - $99,999",Some college or Associate degree,East North Central,Yes,Yes,NA,Yes,Greedo
3291707153,30-44,Male,"$50,000 - $99,999",Bachelor degree,West South Central,Yes,No,NA,No,Greedo
3291701619,18-29,Male,NA,Bachelor degree,New England,Yes,Yes,NA,Yes,Greedo
3291696391,30-44,Male,"$100,000 - $149,999",Bachelor degree,West North Central,Yes,Yes,No,No,Han
3291684768,30-44,Male,"$100,000 - $149,999",Graduate degree,East North Central,Yes,Yes,NA,No,Han
3291669388,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA
3291661584,> 60,Male,"$50,000 - $99,999",Some college or Associate degree,South Atlantic,Yes,No,NA,No,I don't understand this question
3291658046,30-44,Male,NA,Graduate degree,South Atlantic,Yes,Yes,NA,Yes,Greedo
3291654919,> 60,Male,"$50,000 - $99,999",Graduate degree,East North Central,Yes,Yes,NA,Yes,Greedo
3291650311,30-44,Male,"$25,000 - $49,999",Some college or Associate degree,East North Central,Yes,Yes,NA,Yes,Han
3291641416,> 60,Male,"$100,000 - $149,999",Graduate degree,East North Central,Yes,No,No,Yes,Greedo
3291634205,30-44,Male,"$0 - $24,999",Bachelor degree,Pacific,Yes,No,NA,No,Han
